name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
"the_last_time","0.96","0.0771","103.029","0.0514","0.00156","0","4","0.519","1","238307","-2.315","0.374","0"
"the_thunder_rolls","0.889","0.112","159.879","0.0523","0.000274","0.131","4","0.336","2","263067","-5.291","0.243","1"
"this_probably_won't_end_well","0.921","0.115","107.483","0.0566","0.00884","0","4","0.482","1","228680","-3.828","0.134","0"
"the_devil_you_know","0.934","0.0938","97.036","0.0872","1.05e-05","0.000549","4","0.57","1","286280","-4.496","0.45","1"
"hereafter","0.973","0.224","121.018","0.0849","4.58e-05","0.00326","4","0.513","6","255587","-4.115","0.159","0"
"hail_to_the_king","0.887","0.132","118.035","0.0362","0.000376","0.0518","4","0.585","3","304880","-5.086","0.711","0"
"nightmare","0.949","0.2","129.984","0.0787","0.000318","9.98e-05","4","0.554","2","374453","-4.928","0.233","1"
"zombie","0.826","0.117","77.093","0.0319","0.00756","0","4","0.448","2","254805","-3.244","0.19","0"
"failure","0.89","0.0685","155.008","0.0382","2.99e-05","0.00909","4","0.462","1","214853","-4.853","0.383","1"
"i_will_not_bow","0.952","0.38","107.942","0.0668","0.000192","7.8e-06","4","0.543","8","216733","-3.65","0.591","1"
"red_cold_river","0.967","0.0575","91.582","0.166","0.000248","2.64e-06","4","0.376","3","200907","-3.277","0.226","0"
"the_diary_of_jane","0.963","0.14","167.065","0.0773","5.86e-05","0.0689","4","0.391","10","200547","-4.378","0.364","0"
"under_grass_and_clover","0.949","0.124","95.006","0.0555","1.94e-05","0.00211","4","0.429","6","213000","-7.673","0.145","1"
"indestructible","0.966","0.371","179.956","0.0733","0.000209","0.124","4","0.429","8","278027","-4.605","0.525","1"
"land_of_confusion","0.991","0.179","114.92","0.0925","4.44e-05","0.0695","4","0.553","8","287067","-3.703","0.324","1"
"stricken","0.969","0.268","173.878","0.195","8.51e-05","0.0114","4","0.404","8","245227","-2.938","0.29","1"
"stupify","0.939","0.201","98.0","0.0446","0.00108","9.77e-05","4","0.597","1","274000","-3.001","0.422","1"
"37_stitches","0.897","0.105","157.88","0.095","0.00142","0.000559","4","0.359","4","229973","-6.359","0.355","1"
"bodies","0.932","0.144","130.936","0.0708","0.00347","0.00147","4","0.656","4","201960","-3.405","0.544","0"
"feel_like_i_do","0.989","0.32","180.04","0.118","0.000347","0","4","0.378","9","213133","-3.256","0.457","1"
"tear_away","0.648","0.0846","132.983","0.0441","0.00055","0.0028","4","0.611","0","254200","-4.579","0.457","1"
"dielectric","0.973","0.0767","190.099","0.103","0.000243","1.49e-05","4","0.48","10","259733","-3.203","0.549","0"
"linchpin","0.871","0.11","111.989","0.0844","0.00358","2.01e-05","4","0.693","0","204853","-3.389","0.533","1"
"bad_company","0.886","0.0904","114.025","0.0498","0.000595","9.84e-05","4","0.557","11","262440","-4.196","0.17","0"
"i_apologize","0.929","0.167","77.991","0.0529","0.00068","0","4","0.505","9","242956","-4.69","0.419","0"
"the_pride","0.987","0.231","103.98","0.122","8.96e-06","0","4","0.492","4","203813","-3.398","0.354","1"
"wrong_side_of_heaven","0.926","0.29","150.016","0.0669","0.00662","0","4","0.483","4","271000","-5.122","0.53","0"
"awake","0.758","0.308","111.803","0.0558","1.84e-05","0.00253","4","0.406","5","304373","-4.1","0.532","1"
"cryin_like_a_bitch","0.808","0.114","95.19","0.0407","7.19e-05","0.00336","4","0.543","10","201667","-5.484","0.472","1"
"i_stand_alone","0.93","0.126","169.221","0.0671","4.78e-05","0","4","0.213","0","246040","-4.478","0.386","1"
"speak","0.887","0.0616","97.018","0.0424","2.51e-06","0.00138","4","0.338","7","235933","-6.447","0.561","1"
"silvera","0.959","0.299","137.052","0.072","3.19e-06","0.0563","4","0.333","2","212653","-4.348","0.242","1"
"stranded","0.88","0.0824","92.358","0.0309","9.59e-05","0.00614","4","0.513","7","269533","-4.69","0.495","0"
"deliver_us","0.968","0.0962","110.022","0.057","2.58e-05","0.35","4","0.503","10","210646","-2.665","0.379","0"
"no_good","0.963","0.183","99.989","0.0708","0.000132","0.00175","4","0.466","10","295367","-2.966","0.32","0"
"rusted_nail","0.941","0.107","114.728","0.0904","0.000426","0.021","4","0.484","10","293547","-5.106","0.234","0"
"this_is_our_house","0.984","0.333","132.039","0.0817","6.68e-05","0.018","4","0.521","10","258773","-4.957","0.465","0"
"2_minutes_to_midnight","0.97","0.199","94.233","0.0508","0.00754","0.000275","4","0.446","9","363587","-5.004","0.595","0"
"holy_diver","0.995","0.241","185.985","0.12","7.6e-05","0.00589","4","0.369","0","250253","-2.584","0.27","0"
"in_due_time","0.959","0.173","84.997","0.0485","0.000203","0.0259","4","0.486","0","197573","-3.857","0.527","0"
"rose_of_sharyn","0.978","0.294","90.994","0.0628","5.59e-05","0.0168","4","0.469","8","216307","-4.399","0.413","1"
"the_end_of_heartache","0.976","0.0636","124.001","0.111","0.000287","0.217","4","0.469","0","298107","-3.569","0.222","0"
"freak_on_a_leash","0.898","0.39","103.293","0.052","2.23e-05","0.105","4","0.353","2","255733","-5.877","0.525","1"
"faint","0.978","0.0731","135.095","0.131","0.111","0","4","0.554","4","162600","-3.554","0.594","1"
"numb","0.863","0.639","110.018","0.0381","0.0046","0","4","0.496","9","185587","-4.153","0.243","1"
"papercut","0.939","0.623","150.184","0.113","0.00022","0","4","0.524","9","184867","-3.994","0.661","1"
"catharsis","0.963","0.188","156.975","0.269","0.0057","0","4","0.176","7","370747","-4.673","0.0733","1"
"darkness_within","0.903","0.0971","149.757","0.175","0.0121","4.14e-05","4","0.269","7","387840","-5.705","0.0967","1"
"locust","0.956","0.125","122.897","0.149","7.51e-05","0.0203","4","0.352","7","456320","-3.634","0.228","1"
"warriors_of_the","0.797","0.0777","101.003","0.0497","0.000786","0.186","4","0.571","9","234560","-9.264","0.243","1"
"curl_of_the_burl","0.982","0.131","112.04","0.134","0.000547","0.00131","4","0.459","11","220133","-2.857","0.161","0"
"oblivion","0.938","0.301","132.47","0.086","9.92e-05","0.0106","3","0.261","5","346573","-5.125","0.256","0"
"lying_in_state","0.995","0.0557","87.474","0.255","6.84e-05","0.000278","4","0.256","2","214013","-3.077","0.0764","1"
"sweating_bullets","0.856","0.257","69.955","0.188","0.000319","0.00708","3","0.325","4","327040","-6.547","0.652","0"
"enter_sandman","0.824","0.059","123.331","0.03","0.00206","0.00903","4","0.579","6","331573","-8.71","0.635","0"
"fuel","0.951","0.0424","106.948","0.0465","2.3e-05","0.00354","4","0.491","1","269733","-3.775","0.555","1"
"st_anger","0.949","0.0953","185.252","0.0678","0.00131","0.0228","4","0.249","2","441133","-2.642","0.498","0"
"the_memory_remains","0.904","0.206","144.401","0.0432","0.000321","0.00982","4","0.432","10","279240","-3.697","0.6","0"
"whiskey_in_the_jar","0.972","0.19","132.97","0.0413","5.36e-06","0.00101","4","0.511","10","304893","-3.751","0.532","1"
"everything_invaded","0.841","0.217","100.03","0.0373","0.00124","0.587","4","0.589","2","376653","-5.358","0.475","0"
"saints_of_los_angeles","0.907","0.102","106.984","0.0466","0.000396","0.000959","4","0.495","5","202147","-4.291","0.22","0"
"heroes","0.955","0.0954","124.993","0.0556","0.000194","0.611","4","0.464","6","277000","-5.55","0.312","1"
"cemetery_gates","0.726","0.0993","146.449","0.0449","0.000212","0.0113","4","0.274","9","422933","-11.541","0.426","1"
"walk","0.704","0.0933","118.242","0.0804","0.000155","0.00221","4","0.43","1","315120","-8.008","0.703","0"
"beneath_broken_earth","0.712","0.074","77.008","0.0401","7.94e-05","0.274","3","0.353","5","368369","-4.636","0.231","1"
"mouth","0.954","0.342","95.011","0.061","1.31e-05","0.00073","4","0.39","9","223921","-4.338","0.227","0"
"army_of_the_night","0.957","0.166","171.95","0.0498","0.00096","0","4","0.425","1","201387","-3.654","0.599","0"
"killers_with_the_cross","0.878","0.31","104.013","0.0551","0.00183","0.000768","4","0.479","1","249507","-5.368","0.286","0"
"bulls_on_parade","0.919","0.424","166.367","0.184","0.0124","0.0601","4","0.412","5","229467","-7.291","0.572","1"
"du_hast","0.918","0.331","125.066","0.0385","0.00437","0.0706","4","0.638","9","234227","-6.294","0.723","0"
"feuer_frei","0.968","0.154","95.135","0.0482","7.17e-05","0.359","4","0.489","3","188600","-4.007","0.19","1"
